carrier,carrier_name,rate_version,residence_country,area,age_min,age_max,product_code,product_name,annual_premium,currency,rate_note
april,APRIL International,april_2025_current,Greece,area1,40,44,intl_plus_nxs,APRIL International Plus NXS,4099,EUR,Temporary current dataset; replace when new APRIL rates arrive.
april,APRIL International,april_2025_current,Greece,area1,40,44,executive,APRIL Executive,5743,EUR,Temporary current dataset; replace when new APRIL rates arrive.
april,APRIL International,april_2025_current,Greece,area1,40,44,exec_nxs,APRIL Executive NXS,6490,EUR,Temporary current dataset; replace when new APRIL rates arrive.
april,APRIL International,april_2025_current,Greece,area1,40,44,exec_plus,APRIL Executive Plus,7320,EUR,Temporary current dataset; replace when new APRIL rates arrive.
april,APRIL International,april_2025_current,Greece,area1,40,44,exec_plus_nxs,APRIL Executive Plus NXS,8125,EUR,Temporary current dataset; replace when new APRIL rates arrive.
april,APRIL International,april_2025_current,Greece,area1,45,49,international,APRIL International,2869,EUR,Temporary current dataset; replace when new APRIL rates arrive.
april,APRIL International,april_2025_current,Greece,area1,45,49,intl_plus,APRIL International Plus,4091,EUR,Temporary current dataset; replace when new APRIL rates arrive.
april,APRIL International,april_2025_current,Greece,area1,45,49,intl_plus_nxs,APRIL International Plus NXS,4623,EUR,Temporary current dataset; replace when new APRIL rates arrive.
april,APRIL International,april_2025_current,Greece,area1,45,49,executive,APRIL Executive,6596,EUR,Temporary current dataset; replace when new APRIL rates arrive.
april,APRIL International,april_2025_current,Greece,area1,45,49,exec_nxs,APRIL Executive NXS,7453,EUR,Temporary current dataset; replace when new APRIL rates arrive.
april,APRIL International,april_2025_current,Greece,area1,45,49,exec_plus,APRIL Executive Plus,8389,EUR,Temporary current dataset; replace when new APRIL rates arrive.
april,APRIL International,april_2025_current,Greece,area1,45,49,exec_plus_nxs,APRIL Executive Plus NXS,9227,EUR,Temporary current dataset; replace when new APRIL rates arrive.
april,APRIL International,april_2025_current,Greece,area1,50,54,international,APRIL International,3700,EUR,Temporary current dataset; replace when new APRIL rates arrive.
april,APRIL International,april_2025_current,Greece,area1,50,54,intl_plus,APRIL International Plus,5242,EUR,Temporary current dataset; replace when new APRIL rates arrive.
april,APRIL International,april_2025_current,Greece,area1,50,54,intl_plus_nxs,APRIL International Plus NXS,5766,EUR,Temporary current dataset; replace when new APRIL rates arrive.
april,APRIL International,april_2025_current,Greece,area1,50,54,executive,APRIL Executive,8640,EUR,Temporary current dataset; replace when new APRIL rates arrive.
april,APRIL International,april_2025_current,Greece,area1,50,54,exec_nxs,APRIL Executive NXS,9503,EUR,Temporary current dataset; replace when new APRIL rates arrive.
april,APRIL International,april_2025_current,Greece,area1,50,54,exec_plus,APRIL Executive Plus,10716,EUR,Temporary current dataset; replace when new APRIL rates arrive.
april,APRIL International,april_2025_current,Greece,area1,50,54,exec_plus_nxs,APRIL Executive Plus NXS,11821,EUR,Temporary current dataset; replace when new APRIL rates arrive.
april,APRIL International,april_2025_current,Greece,area1,55,59,international,APRIL International,4913,EUR,Temporary current dataset; replace when new APRIL rates arrive.
april,APRIL International,april_2025_current,Greece,area1,55,59,intl_plus,APRIL International Plus,6923,EUR,Temporary current dataset; replace when new APRIL rates arrive.
april,APRIL International,april_2025_current,Greece,area1,55,59,intl_plus_nxs,APRIL International Plus NXS,7476,EUR,Temporary current dataset; replace when new APRIL rates arrive.
april,APRIL International,april_2025_current,Greece,area1,55,59,executive,APRIL Executive,10678,EUR,Temporary current dataset; replace when new APRIL rates arrive.
april,APRIL International,april_2025_current,Greece,area1,55,59,exec_nxs,APRIL Executive NXS,11535,EUR,Temporary current dataset; replace when new APRIL rates arrive.
april,APRIL International,april_2025_current,Greece,area1,55,59,exec_plus,APRIL Executive Plus,12891,EUR,Temporary current dataset; replace when new APRIL rates arrive.
april,APRIL International,april_2025_current,Greece,area1,55,59,exec_plus_nxs,APRIL Executive Plus NXS,13664,EUR,Temporary current dataset; replace when new APRIL rates arrive.
april,APRIL International,april_2025_current,Greece,area1,60,64,international,APRIL International,6670,EUR,Temporary current dataset; replace when new APRIL rates arrive.
april,APRIL International,april_2025_current,Greece,area1,60,64,intl_plus,APRIL International Plus,9354,EUR,Temporary current dataset; replace when new APRIL rates arrive.
april,APRIL International,april_2025_current,Greece,area1,60,64,intl_plus_nxs,APRIL International Plus NXS,9822,EUR,Temporary current dataset; replace when new APRIL rates arrive.
april,APRIL International,april_2025_current,Greece,area1,60,64,executive,APRIL Executive,13675,EUR,Temporary current dataset; replace when new APRIL rates arrive.
april,APRIL International,april_2025_current,Greece,area1,60,64,exec_nxs,APRIL Executive NXS,14495,EUR,Temporary current dataset; replace when new APRIL rates arrive.
april,APRIL International,april_2025_current,Greece,area1,60,64,exec_plus,APRIL Executive Plus,16479,EUR,Temporary current dataset; replace when new APRIL rates arrive.
april,APRIL International,april_2025_current,Greece,area1,60,64,exec_plus_nxs,APRIL Executive Plus NXS,17302,EUR,Temporary current dataset; replace when new APRIL rates arrive.
april,APRIL International,april_2025_current,Greece,area1,65,69,international,APRIL International,10011,EUR,Temporary current dataset; replace when new APRIL rates arrive.
april,APRIL International,april_2025_current,Greece,area1,65,69,intl_plus,APRIL International Plus,14058,EUR,Temporary current dataset; replace when new APRIL rates arrive.
april,APRIL International,april_2025_current,Greece,area1,65,69,intl_plus_nxs,APRIL International Plus NXS,14621,EUR,Temporary current dataset; replace when new APRIL rates arrive.
april,APRIL International,april_2025_current,Greece,area1,65,69,executive,APRIL Executive,20142,EUR,Temporary current dataset; replace when new APRIL rates arrive.
april,APRIL International,april_2025_current,Greece,area1,65,69,exec_nxs,APRIL Executive NXS,20950,EUR,Temporary current dataset; replace when new APRIL rates arrive.
april,APRIL International,april_2025_current,Greece,area1,65,69,exec_plus,APRIL Executive Plus,25269,EUR,Temporary current dataset; replace when new APRIL rates arrive.
april,APRIL International,april_2025_current,Greece,area1,65,69,exec_plus_nxs,APRIL Executive Plus NXS,26029,EUR,Temporary current dataset; replace when new APRIL rates arrive.
april,APRIL International,april_2025_current,Greece,area1,70,74,international,APRIL International,15288,EUR,Temporary current dataset; replace when new APRIL rates arrive.
april,APRIL International,april_2025_current,Greece,area1,70,74,intl_plus,APRIL International Plus,20231,EUR,Temporary current dataset; replace when new APRIL rates arrive.
april,APRIL International,april_2025_current,Greece,area1,70,74,intl_plus_nxs,APRIL International Plus NXS,21039,EUR,Temporary current dataset; replace when new APRIL rates arrive.
april,APRIL International,april_2025_current,Greece,area1,70,74,executive,APRIL Executive,28267,EUR,Temporary current dataset; replace when new APRIL rates arrive.
april,APRIL International,april_2025_current,Greece,area1,70,74,exec_nxs,APRIL Executive NXS,29116,EUR,Temporary current dataset; replace when new APRIL rates arrive.
april,APRIL International,april_2025_current,Greece,area1,70,74,exec_plus,APRIL Executive Plus,35372,EUR,Temporary current dataset; replace when new APRIL rates arrive.
april,APRIL International,april_2025_current,Greece,area1,70,74,exec_plus_nxs,APRIL Executive Plus NXS,36257,EUR,Temporary current dataset; replace when new APRIL rates arrive.
april,APRIL International,april_2025_current,Greece,area1,75,79,international,APRIL International,20604,EUR,Temporary current dataset; replace when new APRIL rates arrive.
april,APRIL International,april_2025_current,Greece,area1,75,79,intl_plus,APRIL International Plus,27264,EUR,Temporary current dataset; replace when new APRIL rates arrive.
april,APRIL International,april_2025_current,Greece,area1,75,79,intl_plus_nxs,APRIL International Plus NXS,28353,EUR,Temporary current dataset; replace when new APRIL rates arrive.
april,APRIL International,april_2025_current,Greece,area1,75,79,executive,APRIL Executive,33978,EUR,Temporary current dataset; replace when new APRIL rates arrive.
april,APRIL International,april_2025_current,Greece,area1,75,79,exec_nxs,APRIL Executive NXS,37162,EUR,Temporary current dataset; replace when new APRIL rates arrive.
april,APRIL International,april_2025_current,Greece,area1,75,79,exec_plus,APRIL Executive Plus,42089,EUR,Temporary current dataset; replace when new APRIL rates arrive.
april,APRIL International,april_2025_current,Greece,area1,75,79,exec_plus_nxs,APRIL Executive Plus NXS,42931,EUR,Temporary current dataset; replace when new APRIL rates arrive.
april,APRIL International,april_2025_current,Greece,area1,80,120,international,APRIL International,25780,EUR,Temporary current dataset; replace when new APRIL rates arrive.
april,APRIL International,april_2025_current,Greece,area1,80,120,intl_plus,APRIL International Plus,34117,EUR,Temporary current dataset; replace when new APRIL rates arrive.
april,APRIL International,april_2025_current,Greece,area1,80,120,intl_plus_nxs,APRIL International Plus NXS,35484,EUR,Temporary current dataset; replace when new APRIL rates arrive.
april,APRIL International,april_2025_current,Greece,area1,80,120,executive,APRIL Executive,41206,EUR,Temporary current dataset; replace when new APRIL rates arrive.
april,APRIL International,april_2025_current,Greece,area1,80,120,exec_nxs,APRIL Executive NXS,42442,EUR,Temporary current dataset; replace when new APRIL rates arrive.
april,APRIL International,april_2025_current,Greece,area1,80,120,exec_plus,APRIL Executive Plus,51042,EUR,Temporary current dataset; replace when new APRIL rates arrive.
april,APRIL International,april_2025_current,Greece,area1,80,120,exec_plus_nxs,APRIL Executive Plus NXS,52062,EUR,Temporary current dataset; replace when new APRIL rates arrive.
april,APRIL International,april_2025_current,Greece,area2,0,17,international,APRIL International,2730,EUR,Temporary current dataset; replace when new APRIL rates arrive.
april,APRIL International,april_2025_current,Greece,area2,0,17,intl_plus,APRIL International Plus,3765,EUR,Temporary current dataset; replace when new APRIL rates arrive.
april,APRIL International,april_2025_current,Greece,area2,0,17,intl_plus_nxs,APRIL International Plus NXS,4341,EUR,Temporary current dataset; replace when new APRIL rates arrive.
april,APRIL International,april_2025_current,Greece,area2,0,17,executive,APRIL Executive,6023,EUR,Temporary current dataset; replace when new APRIL rates arrive.
april,APRIL International,april_2025_current,Greece,area2,0,17,exec_nxs,APRIL Executive NXS,6939,EUR,Temporary current dataset; replace when new APRIL rates arrive.
april,APRIL International,april_2025_current,Greece,area2,0,17,exec_plus,APRIL Executive Plus,7930,EUR,Temporary current dataset; replace when new APRIL rates arrive.
april,APRIL International,april_2025_current,Greece,area2,0,17,exec_plus_nxs,APRIL Executive Plus NXS,9140,EUR,Temporary current dataset; replace when new APRIL rates arrive.
april,APRIL International,april_2025_current,Greece,area2,18,25,international,APRIL International,4039,EUR,Temporary current dataset; replace when new APRIL rates arrive.
april,APRIL International,april_2025_current,Greece,area2,18,25,intl_plus,APRIL International Plus,5743,EUR,Temporary current dataset; replace when new APRIL rates arrive.
april,APRIL International,april_2025_current,Greece,area2,18,25,intl_plus_nxs,APRIL International Plus NXS,6620,EUR,Temporary current dataset; replace when new APRIL rates arrive.
april,APRIL International,april_2025_current,Greece,area2,18,25,executive,APRIL Executive,9266,EUR,Temporary current dataset; replace when new APRIL rates arrive.
april,APRIL International,april_2025_current,Greece,area2,18,25,exec_nxs,APRIL Executive NXS,10543,EUR,Temporary current dataset; replace when new APRIL rates arrive.
april,APRIL International,april_2025_current,Greece,area2,18,25,exec_plus,APRIL Executive Plus,11924,EUR,Temporary current dataset; replace when new APRIL rates arrive.
april,APRIL International,april_2025_current,Greece,area2,18,25,exec_plus_nxs,APRIL Executive Plus NXS,13478,EUR,Temporary current dataset; replace when new APRIL rates arrive.
april,APRIL International,april_2025_current,Greece,area2,26,29,international,APRIL International,4796,EUR,Temporary current dataset; replace when new APRIL rates arrive.
april,APRIL International,april_2025_current,Greece,area2,26,29,intl_plus,APRIL International Plus,6899,EUR,Temporary current dataset; replace when new APRIL rates arrive.
april,APRIL International,april_2025_current,Greece,area2,26,29,intl_plus_nxs,APRIL International Plus NXS,7950,EUR,Temporary current dataset; replace when new APRIL rates arrive.
april,APRIL International,april_2025_current,Greece,area2,26,29,executive,APRIL Executive,11136,EUR,Temporary current dataset; replace when new APRIL rates arrive.
april,APRIL International,april_2025_current,Greece,area2,26,29,exec_nxs,APRIL Executive NXS,12671,EUR,Temporary current dataset; replace when new APRIL rates arrive.
april,APRIL International,april_2025_current,Greece,area2,26,29,exec_plus,APRIL Executive Plus,14279,EUR,Temporary current dataset; replace when new APRIL rates arrive.
april,APRIL International,april_2025_current,Greece,area2,26,29,exec_plus_nxs,APRIL Executive Plus NXS,16142,EUR,Temporary current dataset; replace when new APRIL rates arrive.
april,APRIL International,april_2025_current,Greece,area2,30,34,international,APRIL International,5242,EUR,Temporary current dataset; replace when new APRIL rates arrive.
april,APRIL International,april_2025_current,Greece,area2,30,34,intl_plus,APRIL International Plus,7461,EUR,Temporary current dataset; replace when new APRIL rates arrive.
april,APRIL International,april_2025_current,Greece,area2,30,34,intl_plus_nxs,APRIL International Plus NXS,8598,EUR,Temporary current dataset; replace when new APRIL rates arrive.
april,APRIL International,april_2025_current,Greece,area2,30,34,executive,APRIL Executive,12038,EUR,Temporary current dataset; replace when new APRIL rates arrive.
april,APRIL International,april_2025_current,Greece,area2,30,34,exec_nxs,APRIL Executive NXS,13698,EUR,Temporary current dataset; replace when new APRIL rates arrive.
april,APRIL International,april_2025_current,Greece,area2,30,34,exec_plus,APRIL Executive Plus,15417,EUR,Temporary current dataset; replace when new APRIL rates arrive.
april,APRIL International,april_2025_current,Greece,area2,30,34,exec_plus_nxs,APRIL Executive Plus NXS,17312,EUR,Temporary current dataset; replace when new APRIL rates arrive.
april,APRIL International,april_2025_current,Greece,area2,35,39,international,APRIL International,6050,EUR,Temporary current dataset; replace when new APRIL rates arrive.
april,APRIL International,april_2025_current,Greece,area2,35,39,intl_plus,APRIL International Plus,8666,EUR,Temporary current dataset; replace when new APRIL rates arrive.
april,APRIL International,april_2025_current,Greece,area2,35,39,intl_plus_nxs,APRIL International Plus NXS,9987,EUR,Temporary current dataset; replace when new APRIL rates arrive.
april,APRIL International,april_2025_current,Greece,area2,35,39,executive,APRIL Executive,13979,EUR,Temporary current dataset; replace when new APRIL rates arrive.
